"CountyName","AverageIncome","CountyId","StateId"
"Ward County, North Dakota","35560","101","38"
"Allen County, Ohio","24715","3","39"
"Ashtabula County, Ohio","25137","7","39"
"Athens County, Ohio","14336","9","39"
"Belmont County, Ohio","25104","13","39"
"Butler County, Ohio","30555","17","39"
"Clark County, Ohio","27165","23","39"
"Clermont County, Ohio","31203","25","39"
"Columbiana County, Ohio","24977","29","39"
"Cuyahoga County, Ohio","29839","35","39"
"Delaware County, Ohio","45187","41","39"
"Erie County, Ohio","29348","43","39"
"Fairfield County, Ohio","32008","45","39"
"Franklin County, Ohio","32183","49","39"
"Geauga County, Ohio","37133","55","39"
"Greene County, Ohio","32897","57","39"
"Hamilton County, Ohio","32180","61","39"
"Hancock County, Ohio","31711","63","39"
"Jefferson County, Ohio","22484","81","39"
"Lake County, Ohio","34102","85","39"
"Licking County, Ohio","31605","89","39"
"Lorain County, Ohio","30622","93","39"
"Lucas County, Ohio","26692","95","39"
"Mahoning County, Ohio","26214","99","39"
"Marion County, Ohio","22542","101","39"
"Medina County, Ohio","36691","103","39"
"Miami County, Ohio","31486","109","39"
"Montgomery County, Ohio","29228","113","39"
"Muskingum County, Ohio","27069","119","39"
"Portage County, Ohio","27735","133","39"
"Richland County, Ohio","24499","139","39"
"Ross County, Ohio","25727","141","39"
"Scioto County, Ohio","20980","145","39"
"Stark County, Ohio","26898","151","39"
"Summit County, Ohio","31405","153","39"
"Trumbull County, Ohio","26640","155","39"
"Tuscarawas County, Ohio","26407","157","39"
"Warren County, Ohio","40607","165","39"
"Wayne County, Ohio","28925","169","39"
"Wood County, Ohio","30213","173","39"
"Canadian County, Oklahoma","32272","17","40"
"Cleveland County, Oklahoma","31118","27","40"
"Comanche County, Oklahoma","26104","31","40"
"Creek County, Oklahoma","26885","37","40"
"Muskogee County, Oklahoma","25742","101","40"
"Oklahoma County, Oklahoma","29036","109","40"
"Payne County, Oklahoma","21674","119","40"
"Pottawatomie County, Oklahoma","26153","125","40"
"Rogers County, Oklahoma","31301","131","40"
"Tulsa County, Oklahoma","30411","143","40"
"Wagoner County, Oklahoma","31776","145","40"
"Benton County, Oregon","25671","3","41"
"Clackamas County, Oregon","38063","5","41"
"Deschutes County, Oregon","32308","17","41"
"Douglas County, Oregon","24280","19","41"
"Jackson County, Oregon","28315","29","41"
"Josephine County, Oregon","23520","33","41"
"Klamath County, Oregon","22951","35","41"
"Lane County, Oregon","26722","39","41"
"Linn County, Oregon","26684","43","41"
"Marion County, Oregon","27573","47","41"
"Multnomah County, Oregon","35640","51","41"
"Polk County, Oregon","27112","53","41"
"Umatilla County, Oregon","25977","59","41"
"Washington County, Oregon","38697","67","41"
"Yamhill County, Oregon","28338","71","41"
"Adams County, Pennsylvania","31362","1","42"
"Allegheny County, Pennsylvania","32881","3","42"
"Armstrong County, Pennsylvania","26470","5","42"
"Beaver County, Pennsylvania","29239","7","42"
"Berks County, Pennsylvania","30733","11","42"
"Blair County, Pennsylvania","26648","13","42"
"Bucks County, Pennsylvania","40048","17","42"
"Butler County, Pennsylvania","32167","19","42"
"Cambria County, Pennsylvania","24924","21","42"
"Carbon County, Pennsylvania","28551","25","42"
"Centre County, Pennsylvania","26019","27","42"
"Chester County, Pennsylvania","42896","29","42"
"Clearfield County, Pennsylvania","25959","33","42"
"Columbia County, Pennsylvania","28397","37","42"
"Crawford County, Pennsylvania","26412","39","42"
"Cumberland County, Pennsylvania","34857","41","42"
"Dauphin County, Pennsylvania","32471","43","42"
"Delaware County, Pennsylvania","35577","45","42"
"Erie County, Pennsylvania","24913","49","42"
"Fayette County, Pennsylvania","26888","51","42"
"Franklin County, Pennsylvania","30038","55","42"
"Indiana County, Pennsylvania","22146","63","42"
"Lackawanna County, Pennsylvania","27278","69","42"
"Lancaster County, Pennsylvania","31881","71","42"
"Lawrence County, Pennsylvania","24707","73","42"
"Lebanon County, Pennsylvania","29980","75","42"
"Lehigh County, Pennsylvania","30546","77","42"
"Luzerne County, Pennsylvania","27106","79","42"
"Lycoming County, Pennsylvania","26815","81","42"
"Mercer County, Pennsylvania","25369","85","42"
"Monroe County, Pennsylvania","27440","89","42"
"Montgomery County, Pennsylvania","41349","91","42"
"Northampton County, Pennsylvania","31666","95","42"
"Northumberland County, Pennsylvania","26786","97","42"
"Philadelphia County, Pennsylvania","25904","101","42"
"Schuylkill County, Pennsylvania","26763","107","42"
"Somerset County, Pennsylvania","25276","111","42"
"Washington County, Pennsylvania","31569","125","42"
"Westmoreland County, Pennsylvania","30839","129","42"
"York County, Pennsylvania","31971","133","42"
"Kent County, Rhode Island","38013","3","44"
"Newport County, Rhode Island","41600","5","44"
"Providence County, Rhode Island","29363","7","44"
"Washington County, Rhode Island","35247","9","44"
"Aiken County, South Carolina","26694","3","45"
"Anderson County, South Carolina","26100","7","45"
"Beaufort County, South Carolina","30371","13","45"
"Berkeley County, South Carolina","30704","15","45"
"Charleston County, South Carolina","33833","19","45"
"Darlington County, South Carolina","20659","31","45"
"Dorchester County, South Carolina","31104","35","45"
"Florence County, South Carolina","26308","41","45"
"Greenville County, South Carolina","30322","45","45"
"Greenwood County, South Carolina","22411","47","45"
"Horry County, South Carolina","25013","51","45"
"Kershaw County, South Carolina","25494","55","45"
"Lancaster County, South Carolina","27203","57","45"
"Laurens County, South Carolina","22174","59","45"
"Lexington County, South Carolina","31498","63","45"
"Oconee County, South Carolina","25860","73","45"
"Orangeburg County, South Carolina","19696","75","45"
"Pickens County, South Carolina","22257","77","45"
"Richland County, South Carolina","27203","79","45"
"Spartanburg County, South Carolina","26961","83","45"
"Sumter County, South Carolina","24608","85","45"
"York County, South Carolina","31589","91","45"
"Minnehaha County, South Dakota","32085","99","46"
"Pennington County, South Dakota","29904","103","46"
"Anderson County, Tennessee","25098","1","47"
"Blount County, Tennessee","28103","9","47"
"Bradley County, Tennessee","25675","11","47"
"Davidson County, Tennessee","32801","37","47"
"Greene County, Tennessee","24141","59","47"
"Hamilton County, Tennessee","29957","65","47"
"Knox County, Tennessee","30015","93","47"
"Madison County, Tennessee","27345","113","47"
"Maury County, Tennessee","29662","119","47"
"Montgomery County, Tennessee","31184","125","47"
"Putnam County, Tennessee","25847","141","47"
"Robertson County, Tennessee","32483","147","47"
"Rutherford County, Tennessee","30582","149","47"
